1250_TXT_1,Unfortunately this is the end of the demo. You can give up here.,Malheureusement c'est la fin de la démo. Tu peux abandonner ici.
1250_TXT_2,You can still continue to increase your score and show who is the strongest (or craziest).,Tu peux toujours continuer pour augmenter ton score et montrer qui est le plus fort (ou le plus fou).
1250_TXT_3,"But there won't be much new after that.
",Mais il n'y aura pas grand chose de nouveau après ça.
,,
2000_TXT,"Really, why do you keep going? Give up!","Vraiment, pourquoi tu continue ? Abandonne !"
,,
3500_TXT,"It’s no longer perseverance at this point!
",Ce n'est plus de la persévérance à ce stade !
,,
5000_TXT_1,"I don't even know what to say anymore...
",Je ne sais même plus quoi dire...
5000_TXT_2,"Really, give up...
","Vraiment, abandonne..."
10000_TXT,"Do you really have nothing else to do? The abort button is right there.
",Tu n'as vraiment rien d'autre à faire ? Le bouton pour abandonner est juste là.
,,
20000_TXT,"You are definitely crazy.
",Tu es définitivement fou. 
